Designator,Quantity,Manufacturer,Manufacturer Part Number,Description,Footprint,LCSC Part Number,Assembly
"J1,J2",2,TE Connectivity,1-2834011-4,4-way 3.5 mm screw terminal,THT P3.50mm 1x04,C589905,JLCPCB Standard PCBA
RTH1,1,NXP,"KTY81/210,112",2 kohm silicon temperature sensor,TO-92 inline,C481813,JLCPCB Standard PCBA
F1,1,Littelfuse,1812L050/30PR,500 mA hold 30 V resettable fuse,1812,C151168,JLCPCB Standard PCBA
D1,1,Zhengxin,SS16,1 A 60 V Schottky,SMA,C5262487,JLCPCB Standard PCBA
TVS1,1,MDD,SMBJ33A,33 V 600 W unidirectional TVS,SMB,C173526,JLCPCB Standard PCBA
U1,1,Texas Instruments,LMR36510ADDAR,65 V 1 A synchronous buck,SOP-8-EP,C1858393,JLCPCB Standard PCBA
L1,1,Bourns,SRP1038A-330M,33 uH 3.5 A shielded inductor,11x10 mm SMD,C2041318,JLCPCB Standard PCBA
"R1,R3",2,UNI-ROYAL,0603WAF1003T5E,100 kohm 1%,0603,C25803,JLCPCB Standard PCBA
R2,1,UNI-ROYAL,0603WAF2492T5E,24.9 kohm 1%,0603,C25881,JLCPCB Standard PCBA
C1,1,JLCPCB Assembly,4.7uF/100V,4.7 uF 100 V MLCC,1210,C9900085220,JLCPCB Standard PCBA
C2,1,KEMET,C0805C224J1RECAUTO7210,220 nF 100 V X7R 5%,0805,C2222187,JLCPCB Standard PCBA
C3,1,Samsung Electro-Mechanics,CL21B105KBFNNNE,1 uF 50 V X7R,0805,C28323,JLCPCB Standard PCBA
"C4,C10,C11,C12,C13",5,Murata,GRM188R71H104KA93D,100 nF 50 V X7R,0603,C77055,JLCPCB Standard PCBA
"C5,C6",2,Samsung Electro-Mechanics,CL31A476MPHNNNE,47 uF 10 V X5R,1206,C96123,JLCPCB Standard PCBA
"D2,D3",2,JSMSEMI,SS14,1 A 40 V Schottky power OR diode,SMA,C2837270,JLCPCB Standard PCBA
U2,1,TECH PUBLIC,AP2112K-3.3TRG1,3.3 V 600 mA LDO,SOT-23-5,C23380830,JLCPCB Standard PCBA
"C7,C16,C18",3,Murata,GRM21BR71A106KE51L,10 uF 10 V X7R,0805,C86038,JLCPCB Standard PCBA
C8,1,TDK,C2012X7S0J226MT000E,22 uF 6.3 V X7S,0805,C342680,JLCPCB Standard PCBA
U3,1,Espressif Systems,ESP32-C6-WROOM-1-N16,Wi-Fi 6/BLE/Thread module 16 MB flash,LCC-LGA 18x25.5 mm,C5445014,JLCPCB Standard PCBA
J3,1,Korean Hroparts,TYPE-C-31-M-12,USB-C USB2 receptacle,SMD/THT shield,C165948,JLCPCB Standard PCBA
ESD1,1,TECH PUBLIC,USBLC6-2SC6,USB dual-line ESD protection,SOT-23-6,C2827654,JLCPCB Standard PCBA
"R4,R5",2,UNI-ROYAL,0603WAF5101T5E,5.1 kohm 1% USB-C CC,0603,C23186,JLCPCB Standard PCBA
R6,1,UNI-ROYAL,0603WAF1002T5E,10 kohm 1%,0603,C25804,JLCPCB Standard PCBA
C9,1,Samsung Electro-Mechanics,CL10A105KB8NNNC,1 uF 50 V X5R,0603,C15849,JLCPCB Standard PCBA
"SW1,SW2",2,Omron,B3U-1000P,momentary tactile switch,SMD,C271754,JLCPCB Standard PCBA
U4,1,Sensirion,SHT45-AD1B-R2,temperature and humidity sensor,DFN-4 1.5x1.5 mm,C5221601,JLCPCB Standard PCBA
"R7,R8",2,Yageo,RC0603FR-074K7L,4.7 kohm 1%,0603,C99782,JLCPCB Standard PCBA
U5,1,Microchip,MCP4725A0T-E/CH,12-bit I2C DAC,SOT-23-6,C144198,JLCPCB Standard PCBA
U6,1,Texas Instruments,OPA197IDBVR,36 V precision rail-to-rail op amp,SOT-23-5,C221351,JLCPCB Standard PCBA
R9,1,KOA Speer,RN73R1JTTD2102B25,21 kohm 0.1% thin film; gain headroom,0603,C4064934,JLCPCB Standard PCBA
R10,1,Yageo,RT0603BRD0710KL,10 kohm 0.1% thin film,0603,C95204,JLCPCB Standard PCBA
R11,1,Yageo,RC0603FR-07220RL,220 ohm 1%,0603,C107696,JLCPCB Standard PCBA
U7,1,Analog Devices,ADM2587EBRWZ,isolated 500 kbps RS-485 with isoPower,SOIC-20W,C5119494,JLCPCB Standard PCBA
FB1,1,Murata,BLM21PG601SN1D,600 ohm at 100 MHz ferrite,0805,C41556732,JLCPCB Standard PCBA
"C14,C17",2,Samsung Electro-Mechanics,CL21B104KBCNNNC,100 nF 50 V X7R,0805,C49678,JLCPCB Standard PCBA
C15,1,Fenghua,0805B103K500NT,10 nF 50 V X7R,0805,C1710,JLCPCB Standard PCBA
R12,1,Yageo,RC1206FR-07120RL,120 ohm 1% RS-485 termination,1206,C17953,JLCPCB Standard PCBA
J4,1,JST,SM08B-SRSS-TB(LF)(SN),8-way 1 mm expansion connector,SMD right angle,C160407,JLCPCB Standard PCBA
LED1,1,Everlight,19-217/GHC-YR1S2/3T,green status LED,0603,C72043,JLCPCB Standard PCBA
R13,1,Yageo,RC0603FR-071KL,1 kohm 1%,0603,C21190,JLCPCB Standard PCBA
