Ref,Val,Package,PosX,PosY,Rot,Side
"J1","AIR-SLOT","PinSocket_2x04_P2.54mm_Vertical",12.500000,-4.000000,180.000000,bottom
"C1","1u","C_0805_2012Metric",13.000000,-14.000000,0.000000,top
"C2","1u","C_0805_2012Metric",6.000000,-22.000000,0.000000,top
"C3","100n","C_0603_1608Metric",10.000000,-22.000000,0.000000,top
"C4","10u","C_0805_2012Metric",18.000000,-17.000000,0.000000,top
"C5","22u","C_0805_2012Metric",18.000000,-21.000000,0.000000,top
"R1","10R","R_0603_1608Metric",6.500000,-14.000000,0.000000,top
"U1","SGP41-D-R4","DFN-6_L2.4-W2.4-P0.80-TL-EP",10.000000,-18.000000,0.000000,top
"U2","AP2112K-3.3","SOT-23-5",20.000000,-13.000000,90.000000,top
